mesh_id,mesh_name,tree_numbers
D017728,"Lymphoma, Large-Cell, Anaplastic",C04.557.386.480.750.399
D017731,Lymphomatoid Papulosis,C04.557.386.480.750.800.528
D017733,"Leukoplakia, Hairy",C04.588.443.591.545.500|C04.834.512.513.500
D017824,"Bone Cysts, Aneurysmal",C04.182.089.265
D018190,"Neoplasm, Lymphatic Tissue",C04.557.375
D018191,"Lymphangioma, Cystic",C04.557.375.450.450
D018192,Lymphangioleiomyomatosis,C04.557.375.460.465|C04.557.450.692.500
D018193,"Neoplasms, Complex and Mixed",C04.557.435
D018194,Adenomyoma,C04.557.435.110
D018195,Adenosarcoma,C04.557.435.135|C04.557.450.795.135
D018196,"Carcinoma, Adenosquamous",C04.557.435.250|C04.557.470.200.150
D018197,Hepatoblastoma,C04.557.435.380
D018198,"Mixed Tumor, Malignant",C04.557.435.525
D018199,"Mixed Tumor, Mesodermal",C04.557.435.530|C04.557.450.795.530
D018200,"Mixed Tumor, Mullerian",C04.557.435.540
D018201,"Nephroma, Mesoblastic",C04.557.435.600|C04.588.945.947.535.790
D018202,Pulmonary Blastoma,C04.557.435.675|C04.588.894.797.520.867
D018203,"Sarcoma, Endometrial Stromal",C04.557.435.775|C04.557.450.795.332.500
D018204,"Neoplasms, Connective and Soft Tissue",C04.557.450
D018205,"Neoplasms, Adipose Tissue",C04.557.450.550
D018206,Angiolipoma,C04.557.450.550.100
D018207,Angiomyolipoma,C04.557.450.550.125|C04.557.450.692.249
D018208,"Liposarcoma, Myxoid",C04.557.450.550.420.425|C04.557.450.795.465.425
D018209,Myelolipoma,C04.557.450.550.710
D018210,Chondromatosis,C04.557.450.565.265.270
D018211,"Chondrosarcoma, Mesenchymal",C04.557.450.565.280.280|C04.557.450.795.300.280
D018212,Giant Cell Tumor of Bone,C04.557.450.565.380.380|C04.557.450.565.575.420
D018213,"Neoplasms, Bone Tissue",C04.557.450.565.575
D018214,"Fibroma, Ossifying",C04.557.450.565.575.400|C04.557.450.565.590.340.360
D018215,Osteoblastoma,C04.557.450.565.575.600
D018216,Osteochondromatosis,C04.557.450.565.575.610.615
D018217,"Osteosarcoma, Juxtacortical",C04.557.450.565.575.650.655|C04.557.450.795.620.655
D018218,"Neoplasms, Fibrous Tissue",C04.557.450.565.590
D018219,"Histiocytoma, Benign Fibrous",C04.557.450.565.590.425.350
D018220,"Fibroma, Desmoplastic",C04.557.450.565.590.340.345
D018221,"Fibromatosis, Abdominal",C04.557.450.565.590.340.400
D018222,Desmoid Tumors,C04.557.450.565.590.340.410
D018223,Dermatofibrosarcoma,C04.557.450.565.590.350.320|C04.557.450.795.350.320
D018224,Myofibromatosis,C04.557.450.565.590.550
D018225,"Neoplasms, Fibroepithelial",C04.557.450.565.590.595|C04.557.470.625
D018226,Fibroadenoma,C04.557.450.565.590.595.350|C04.557.470.625.350
D018227,"Sarcoma, Clear Cell",C04.557.450.565.800|C04.557.450.795.800
D018228,"Sarcoma, Small Cell",C04.557.450.565.825|C04.557.450.795.870
D018229,Angiomyoma,C04.557.450.590.450.125
D018230,"Leiomyoma, Epithelioid",C04.557.450.590.450.455
D018231,Leiomyomatosis,C04.557.450.590.450.465
D018232,"Rhabdomyosarcoma, Alveolar",C04.557.450.590.550.660.665|C04.557.450.795.550.660.665
D018233,"Rhabdomyosarcoma, Embryonal",C04.557.450.590.550.660.675|C04.557.450.795.550.660.675
D018234,"Sarcoma, Alveolar Soft Part",C04.557.450.590.775|C04.557.450.795.775
D018235,Smooth Muscle Tumor,C04.557.450.590.800
D018236,"Carcinoma, Embryonal",C04.557.465.200
D018237,Germinoma,C04.557.465.330
D018238,Gonadoblastoma,C04.557.465.420|C04.557.475.395
D018239,Seminoma,C04.557.465.330.800
D018240,Endodermal Sinus Tumor,C04.557.465.510.350
D018241,"Neuroectodermal Tumors, Primitive, Peripheral",C04.557.465.625.600.590.650|C04.557.470.670.590.650|C04.557.580.625.600.590.650
D018242,"Neuroectodermal Tumors, Primitive",C04.557.465.625.600.590|C04.557.470.670.590|C04.557.580.625.600.590
D018243,Teratocarcinoma,C04.557.465.900
D018245,"Trophoblastic Tumor, Placental Site",C04.557.465.955.207.875|C04.557.470.200.025.455.875|C04.850.908.208.875
D018246,Adrenocortical Adenoma,C04.588.322.078.265.500
D018248,"Adenoma, Liver Cell",C04.557.470.035.120|C04.588.274.623.040
D018249,"Adenoma, Oxyphilic",C04.557.470.035.140
D018250,Acrospiroma,C04.557.470.035.175.125|C04.557.470.550.175.125
D018251,Hidrocystoma,C04.557.470.035.175.375|C04.557.470.550.175.375
D018252,Syringoma,C04.557.470.035.175.800|C04.557.470.550.175.800
D018253,"Adenoma, Villous",C04.557.470.035.185
D018254,Adenomatoid Tumor,C04.557.470.035.200|C04.557.470.660.200
D018255,"Adenomatosis, Pulmonary",C04.557.470.035.210
D018256,Adenomatous Polyps,C04.557.470.035.215
D018261,"Mesothelioma, Cystic",C04.557.470.035.510.515|C04.557.470.660.510.515
D018262,"Adenocarcinoma, Clear Cell",C04.557.470.200.025.045
D018263,"Adenocarcinoma, Follicular",C04.557.470.200.025.060
D018265,"Carcinoma, Papillary, Follicular",C04.557.470.200.025.060.225|C04.557.470.200.025.085.225
D018266,"Adenocarcinoma, Sebaceous",C04.557.470.200.025.105|C04.557.470.550.105
D018267,"Carcinoma, Acinar Cell",C04.557.470.200.025.215
D018268,Adrenocortical Carcinoma,C04.557.470.200.025.152|C04.588.322.078.265.750
D018269,"Carcinoma, Endometrioid",C04.557.470.200.025.240|C04.588.945.418.948.585.124
D018270,"Carcinoma, Ductal, Breast",C04.557.470.200.025.232.500|C04.557.470.615.132.500|C04.588.180.390
D018273,"Carcinoma, Islet Cell",C04.557.470.200.025.290|C04.588.274.761.500|C04.588.322.475.500
D018275,"Carcinoma, Lobular",C04.557.470.200.025.305|C04.557.470.615.305|C04.588.180.437
D018276,"Carcinoma, Medullary",C04.557.465.625.650.240.315|C04.557.470.200.025.370.315|C04.557.470.615.315|C04.557.580.625.650.240.315
D018277,"Carcinoma, Mucoepidermoid",C04.557.470.200.025.340|C04.557.470.590.340
D018278,"Carcinoma, Neuroendocrine",C04.557.465.625.650.240|C04.557.470.200.025.370|C04.557.580.625.650.240
D018279,"Carcinoma, Signet Ring Cell",C04.557.470.200.025.415|C04.557.470.590.415
D018280,"Carcinoma, Skin Appendage",C04.557.470.200.025.420|C04.557.470.550.420
D018281,Cholangiocarcinoma,C04.557.470.200.025.450
D018282,"Cystadenocarcinoma, Mucinous",C04.557.470.200.025.480.225|C04.557.470.590.480.225
D018283,"Cystadenocarcinoma, Papillary",C04.557.470.200.025.480.230|C04.557.470.590.480.230
D018284,"Cystadenocarcinoma, Serous",C04.557.470.200.025.480.240|C04.557.470.590.480.240
D018285,Klatskin Tumor,C04.557.470.200.025.450.500
D018286,"Carcinoma, Giant Cell",C04.557.470.200.220
D018287,"Carcinoma, Large Cell",C04.557.470.200.260
D018288,"Carcinoma, Small Cell",C04.557.470.200.380
D018289,"Carcinoma, Verrucous",C04.557.470.200.450|C04.557.470.700.450
D018291,"Cystadenoma, Mucinous",C04.557.470.035.320.225|C04.557.470.590.485.225
D018292,"Cystadenoma, Papillary",C04.557.470.035.320.230|C04.557.470.590.485.230
D018293,"Cystadenoma, Serous",C04.557.470.035.320.240|C04.557.470.590.485.240
D018294,"Neoplasms, Adnexal and Skin Appendage",C04.557.470.550
D018295,"Neoplasms, Basal Cell",C04.557.470.565
D018296,Pilomatrixoma,C04.557.470.565.625
D018297,"Neoplasms, Cystic, Mucinous, and Serous",C04.557.470.590
D018298,Mucoepidermoid Tumor,C04.557.470.590.580
D018299,"Neoplasms, Ductal, Lobular, and Medullary",C04.557.470.615
D018300,"Papilloma, Intraductal",C04.557.470.615.670
D018301,"Neoplasms, Mesothelial",C04.557.470.660
D018302,"Neoplasms, Neuroepithelial",C04.557.465.625.600|C04.557.470.670|C04.557.580.625.600
D018303,Ganglioglioma,C04.557.465.625.600.380.350|C04.557.470.670.380.350|C04.557.580.625.600.380.350
D018304,"Esthesioneuroblastoma, Olfactory",C04.557.465.625.600.590.650.550.150|C04.557.470.670.590.650.550.150|C04.557.580.625.600.590.650.550.150
D018305,Ganglioneuroblastoma,C04.557.465.625.600.590.650.550.300|C04.557.470.670.590.650.550.300|C04.557.580.625.600.590.650.550.300
D018306,Neurocytoma,C04.557.465.625.600.580|C04.557.470.670.580|C04.557.580.625.600.580|C04.588.614.250.195.648
D018307,"Neoplasms, Squamous Cell",C04.557.470.700
D018308,"Papilloma, Inverted",C04.557.470.700.600.610
D018309,"Neoplasms, Gonadal Tissue",C04.557.475
D018310,Sertoli-Leydig Cell Tumor,C04.557.475.750.847|C04.588.322.455.648|C04.588.322.762.500|C04.588.945.440.915.500
D018311,Luteoma,C04.557.475.750.751|C04.588.322.455.464
D018312,Sex Cord-Gonadal Stromal Tumors,C04.557.475.750
D018315,"Glioma, Subependymal",C04.557.465.625.600.380.290.390|C04.557.470.670.380.290.390|C04.557.580.625.600.380.290.390
D018316,Gliosarcoma,C04.557.465.625.600.380.400|C04.557.470.670.380.400|C04.557.580.625.600.380.400
D018317,Nerve Sheath Neoplasms,C04.557.580.600
D018318,"Neurofibroma, Plexiform",C04.557.580.600.580.585
D018319,Neurofibrosarcoma,C04.557.450.565.590.350.590|C04.557.450.795.350.590|C04.557.580.600.580.795
D018321,Neurothekeoma,C04.557.450.565.550.625|C04.557.580.600.625
D018322,Angiofibroma,C04.557.645.100
D018323,"Hemangioendothelioma, Epithelioid",C04.557.645.375.370.380
D018324,"Hemangioma, Capillary",C04.557.645.375.380
D018325,Hemangioblastoma,C04.557.645.375.380.370
D018326,Nevi and Melanomas,C04.557.665
D018327,Hutchinson's Melanotic Freckle,C04.557.465.625.650.510.385|C04.557.580.625.650.510.385|C04.557.665.510.385
D018328,"Melanoma, Amelanotic",C04.557.465.625.650.510.515|C04.557.580.625.650.510.515|C04.557.665.510.515
D018329,"Nevus, Blue",C04.557.665.560.615.550
D018330,"Nevus, Intradermal",C04.557.665.560.590
D018331,"Nevus, Spindle Cell",C04.557.665.560.615.625
D018332,"Nevus, Epithelioid and Spindle Cell",C04.557.665.560.615.625.585
D018333,"Odontogenic Cyst, Calcifying",C04.182.089.530.690.605|C04.557.695.605
D018335,Rhabdoid Tumor,C04.557.435.710
D018358,Neuroendocrine Tumors,C04.557.465.625.650|C04.557.580.625.650
D018365,"Neoplasm, Residual",C04.697.700
D018442,"Lymphoma, B-Cell, Marginal Zone",C04.557.386.480.150.570
D018567,"Breast Neoplasms, Male",C04.588.180.260
D018761,Multiple Endocrine Neoplasia Type 1,C04.588.322.400.500|C04.651.600.500|C04.700.630.500
D018813,Multiple Endocrine Neoplasia Type 2a,C04.588.322.400.505|C04.651.600.505|C04.700.630.505
D018814,Multiple Endocrine Neoplasia Type 2b,C04.588.322.400.510|C04.651.600.510|C04.700.630.510
D018827,"Carcinoma, Lewis Lung",C04.557.470.200.280|C04.619.230
D019042,Muscle Neoplasms,C04.588.839.500
D019043,Vascular Neoplasms,C04.588.839.750
D019046,Bone Marrow Neoplasms,C04.588.448.200
D019048,Prostatic Intraepithelial Neoplasia,C04.557.470.200.240.500
D019292,Skull Base Neoplasms,C04.588.149.721.828
D019337,Hematologic Neoplasms,C04.588.448
D019572,Retinal Neoplasms,C04.588.364.818
D019574,Optic Nerve Neoplasms,C04.588.614.300.600|C04.588.614.596.240.240
D020288,"Papilloma, Choroid Plexus",C04.588.614.250.195.205.200.500
D020295,Brain Stem Neoplasms,C04.588.614.250.195.411.100
D020339,Optic Nerve Glioma,C04.557.465.625.600.380.795|C04.557.470.670.380.795|C04.557.580.625.600.380.795|C04.588.614.300.600.600|C04.588.614.596.240.240.500
D020361,"Paraneoplastic Syndromes, Nervous System",C04.588.614.550|C04.730.856
D020362,Paraneoplastic Cerebellar Degeneration,C04.588.614.550.650|C04.730.856.650
D020363,Limbic Encephalitis,C04.588.614.550.450|C04.730.856.437
D020364,Paraneoplastic Polyneuropathy,C04.588.614.550.700|C04.730.856.700
D020522,"Lymphoma, Mantle-Cell",C04.557.386.480.525
D020786,"Hemangioma, Cavernous, Central Nervous System",C04.557.645.375.385.500
D020787,Central Nervous System Venous Angioma,C04.557.645.375.185
D020863,Central Nervous System Cysts,C04.588.614.250.387
D021441,"Carcinoma, Pancreatic Ductal",C04.557.470.200.025.232.750|C04.557.470.615.132.750|C04.588.274.761.750|C04.588.322.475.750
D023981,"Sarcoma, Myeloid",C04.557.337.539.775|C04.557.450.795.853
D030321,Denys-Drash Syndrome,C04.557.435.595.220|C04.588.945.947.535.585.220|C04.700.900.220
D031901,Gestational Trophoblastic Disease,C04.557.465.955.416|C04.850.908.416
D031954,"Choriocarcinoma, Non-gestational",C04.557.465.955.207.438|C04.557.470.200.025.455.750|C04.850.908.208.438
D034701,"Mastocytosis, Cutaneous",C04.557.450.565.465.500|C04.588.805.309
D034721,"Mastocytosis, Systemic",C04.557.450.565.465.750
D034801,Mastocytoma,C04.557.450.565.465.249
D036821,Endometrial Stromal Tumors,C04.557.450.565.325|C04.557.450.795.332
D043604,Glomus Tympanicum Tumor,C04.557.465.625.650.700.705.360|C04.557.580.625.650.700.705.360
D044584,"Carcinoma, Ductal",C04.557.470.200.025.232|C04.557.470.615.132
D045888,Ganglion Cysts,C04.182.347
D046152,Gastrointestinal Stromal Tumors,C04.557.450.565.370
D047688,Breast Cyst,C04.182.156
D047708,Myofibroma,C04.557.450.565.540
D047868,Pulmonary Sclerosing Hemangioma,C04.588.894.797.520.933
D049309,Acanthoma,C04.557.470.700.040|C04.588.805.040
D049328,Mongolian Spot,C04.557.665.560.615.530
D049912,Growth Hormone-Secreting Pituitary Adenoma,C04.557.470.035.415|C04.588.322.609.292
D049913,ACTH-Secreting Pituitary Adenoma,C04.557.470.035.012|C04.588.322.609.145
D050398,Adamantinoma,C04.588.149.030
D051527,"Odontogenic Tumor, Squamous",C04.557.695.607
D051642,Histiocytoma,C04.557.450.565.590.425
D051677,"Histiocytoma, Malignant Fibrous",C04.557.450.565.590.425.360|C04.557.450.795.400
D052958,Tarlov Cysts,C04.182.872
D053578,Opsoclonus-Myoclonus Syndrome,C04.588.614.550.600|C04.730.856.596
D054000,"Nevus, Sebaceous of Jadassohn",C04.557.665.560.700
D054066,"Leukemia, Large Granular Lymphocytic",C04.557.337.428.580.049
D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,C04.557.337.428.600
D054218,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,C04.557.337.428.600.620
D054219,"Neoplasms, Plasma Cell",C04.557.595
D054363,"Solitary Fibrous Tumor, Pleural",C04.557.450.565.590.797.750|C04.588.894.797.640.800
D054364,Solitary Fibrous Tumors,C04.557.450.565.590.797
D054391,"Lymphoma, Extranodal NK-T-Cell",C04.557.386.480.750.199
D054403,"Leukemia, Prolymphocytic, B-Cell",C04.557.337.428.080.562|C04.557.337.428.565.745
D054429,"Leukemia, Myelomonocytic, Juvenile",C04.557.337.539.525
D054438,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",C04.557.337.539.300
D054446,"Lymphoma, Primary Cutaneous Anaplastic Large Cell",C04.557.386.480.750.800.507
D054685,"Lymphoma, Primary Effusion",C04.557.386.480.150.592
D054705,"Mastocytoma, Skin",C04.557.450.565.465.249.500|C04.557.450.565.465.500.500|C04.588.805.309.500
D054739,"Dendritic Cell Sarcoma, Interdigitating",C04.557.227.199
D054740,"Dendritic Cell Sarcoma, Follicular",C04.557.227.190
D054747,Histiocytic Sarcoma,C04.557.227.380
D054752,Langerhans Cell Sarcoma,C04.557.227.500
D054973,Perivascular Epithelioid Cell Neoplasms,C04.557.450.692
D054975,Pallister-Hall Syndrome,C04.445.622|C04.588.614.250.195.885.500.299
D055331,Adenomyoepithelioma,C04.557.435.108
D055613,Multiple Pulmonary Nodules,C04.588.894.797.520.237
D055623,"Keratosis, Actinic",C04.834.450
D055653,Muir-Torre Syndrome,C04.588.805.578.500|C04.700.250.500.500
D055752,Small Cell Lung Carcinoma,C04.588.894.797.520.109.220.624
D055756,Meningeal Carcinomatosis,C04.588.614.250.580.150
D055847,Lynch Syndrome II,C04.700.250.500
D055882,"Nevus, Halo",C04.557.665.560.580
D056267,Pagetoid Reticulosis,C04.557.386.480.750.800.550.600
D056364,Colloid Cysts,C04.182.199|C04.588.614.250.387.200
D056733,Carney Complex,C04.557.450.565.550.312|C04.588.894.309.500
D057090,Eccrine Porocarcinoma,C04.557.470.200.025.500
D057091,Poroma,C04.557.470.035.175.588|C04.557.470.550.175.588
D058249,Birt-Hogg-Dube Syndrome,C04.700.212
D058288,Sister Mary Joseph's Nodule,C04.588.033.740
D058405,Desmoplastic Small Round Cell Tumor,C04.557.450.795.315
D058527,Enteropathy-Associated T-Cell Lymphoma,C04.557.386.480.750.099
D058617,Composite Lymphoma,C04.557.386.150|C04.557.435.295
D058739,Aberrant Crypt Foci,C04.834.020
D058922,Inflammatory Breast Neoplasms,C04.588.180.576
D059545,"Paraneoplastic Syndromes, Ocular",C04.588.364.738|C04.730.900
D059885,Kasabach-Merritt Syndrome,C04.557.645.375.617
D060426,Anti-N-Methyl-D-Aspartate Receptor Encephalitis,C04.588.614.550.112|C04.730.856.112
D061206,Neoplasm Micrometastasis,C04.697.650.695
D061325,Hereditary Breast and Ovarian Cancer Syndrome,C04.588.180.483|C04.588.322.455.431|C04.700.517
D062625,Cystadenofibroma,C04.557.450.565.590.595.050.500|C04.557.470.590.482|C04.557.470.625.050.500
D062688,Buschke-Lowenstein Tumor,C04.557.470.200.450.500|C04.557.470.700.450.500
D062689,Lipoblastoma,C04.557.450.550.400.500
D063646,Carcinogenesis,C04.697.098
D064090,Intraocular Lymphoma,C04.557.386.435|C04.588.364.447
D064129,"Prostatic Neoplasms, Castration-Resistant",C04.588.945.440.770.500
D064726,Triple Negative Breast Neoplasms,C04.588.180.788
D065309,Atypical Squamous Cells of the Cervix,C04.834.818.249
D065310,Squamous Intraepithelial Lesions of the Cervix,C04.834.818.500
D065311,Adenocarcinoma in Situ,C04.557.470.200.025.014|C04.557.470.200.240.124
D065646,"Thyroid Carcinoma, Anaplastic",C04.557.470.200.725
D000069293,Plasmablastic Lymphoma,C04.557.386.480.150.585.500
D000069295,Mammary Analogue Secretory Carcinoma,C04.557.470.200.588
D000069584,Unilateral Breast Neoplasms,C04.588.180.800
D000070779,Giant Cell Tumor of Tendon Sheath,C04.557.450.565.380.690
D000071380,"Fibromatosis, Plantar",C04.557.450.565.590.340.705
D000071960,Breast Carcinoma In Situ,C04.557.470.200.240.187|C04.588.180.130
D000074009,Tubular Sweat Gland Adenomas,C04.557.470.035.175.900|C04.557.470.550.175.900
D000074723,Oncogene Addiction,C04.697.850
D000075122,Smoldering Multiple Myeloma,C04.834.794
D000075363,Immunoglobulin Light-chain Amyloidosis,C04.557.595.250
D000077192,Adenocarcinoma of Lung,C04.557.470.200.025.022|C04.588.894.797.520.055
D000077195,Squamous Cell Carcinoma of Head and Neck,C04.557.470.200.400.565|C04.588.443.177
D000077207,"Chondrosarcoma, Clear Cell",C04.557.450.565.280.140|C04.557.450.795.300.140
D000077216,"Carcinoma, Ovarian Epithelial",C04.557.470.200.295|C04.588.322.455.199
D000077273,"Thyroid Cancer, Papillary",C04.557.470.200.025.085.612|C04.588.322.894.400|C04.588.443.915.400
D000077274,Nasopharyngeal Carcinoma,C04.557.470.200.623|C04.588.443.665.710.650.500
D000077277,Esophageal Squamous Cell Carcinoma,C04.557.470.200.400.330|C04.557.470.700.400.565|C04.588.274.476.205.500|C04.588.443.353.500
D000077777,Myopericytoma,C04.557.450.565.545|C04.557.645.380.500
D000077779,Pancreatic Intraductal Neoplasms,C04.557.470.615.665|C04.588.274.761.875|C04.588.322.475.875
D000079822,Extranodal Extension,C04.697.650.280
D000080443,Diffuse Intrinsic Pontine Glioma,C04.557.465.625.600.380.185|C04.557.470.670.380.185|C04.557.580.625.600.380.185|C04.588.614.250.195.411.100.500
D000082802,"Warburg Effect, Oncologic",C04.697.098.500.580
D000083023,Colitis-Associated Neoplasms,C04.588.274.476.411.307.180.400
D000084122,Cardiac Papillary Fibroelastoma,C04.588.894.309.250
D000086002,"Mesothelioma, Malignant",C04.557.470.035.510.757|C04.557.470.660.510.757|C04.588.894.797.520.173|C04.588.894.797.640.350
D000093284,Non-Muscle Invasive Bladder Neoplasms,C04.557.470.200.674|C04.588.945.947.960.500
D000096142,Cutaneous Malignant Melanoma,C04.557.465.625.650.510.520|C04.557.580.625.650.510.520|C04.557.665.510.520|C04.588.805.444
D000098943,Uveal Melanoma,C04.557.465.625.650.510.762|C04.557.580.625.650.510.762|C04.557.665.510.762|C04.588.364.978.312
D000099067,Blastic Plasmacytoid Dendritic Cell Neoplasm,C04.557.227.001|C04.557.337.001|C04.557.386.001|C04.588.448.001|C04.588.805.175
D000099313,Non-Melanoma Skin Neoplasms,C04.557.470.200.649|C04.588.805.511
D000099314,Cutaneous Squamous Cell Carcinoma,C04.557.470.200.649.001|C04.588.805.511.001
